Arc Time,Arc Component,Chamber Pressure Delta
2024-08-06 11:55:09,B3 Extractor,4.600000000000081e-09
2024-08-06 01:21:36,C4 Bias,4.400000000000013e-09
2024-08-06 01:21:36,C4 Suppressor,4.400000000000013e-09
2024-08-06 01:21:36,C4 Extractor,4.400000000000013e-09
2024-08-05 11:44:08,C4 Gun Lens,4.200000000000051e-09
2024-08-05 11:44:07,C4 Suppressor,4.200000000000051e-09
2024-08-05 11:44:08,D4 Bias,4.200000000000051e-09
2024-08-05 11:44:07,C4 Extractor,4.200000000000051e-09
2024-08-05 19:42:18,D2 Suppressor,3.7000000000000133e-09
2024-08-05 19:42:18,C3 Bias,3.7000000000000133e-09
2024-08-05 19:42:19,C3 Extractor,3.7000000000000133e-09
2024-08-06 05:06:59,D2 Suppressor,3.6000000000000058e-09
2024-08-06 05:06:58,D2 Gun Lens,3.6000000000000058e-09
2024-08-05 15:28:34,B4 Gun Lens,3.599999999999953e-09
2024-08-06 03:38:07,B2 Gun Lens,3.1999999999999757e-09
2024-08-05 19:32:28,B3 Gun Lens,3.1999999999999228e-09
2024-08-05 19:32:29,B3 Extractor,3.1999999999999228e-09
2024-08-05 19:32:28,C4 Extractor,3.1999999999999228e-09
2024-08-05 19:32:28,B4 Gun Lens,3.1999999999999228e-09
2024-08-05 19:32:28,B4 Extractor,3.1999999999999228e-09
2024-08-06 02:35:08,C4 Suppressor,2.899999999999953e-09
2024-08-06 02:35:09,C4 Gun Lens,2.899999999999953e-09
2024-08-06 02:35:09,C4 Extractor,2.899999999999953e-09
2024-08-06 02:35:09,C4 Bias,2.899999999999953e-09
2024-08-05 11:45:13,B4 Bias,2.7999999999999986e-09
2024-08-05 11:45:13,C4 Bias,2.7999999999999986e-09
2024-08-05 11:45:13,D4 Suppressor,2.7999999999999986e-09
2024-08-05 11:45:13,B3 Bias,2.7999999999999986e-09
2024-08-05 11:45:14,D4 Bias,2.7999999999999986e-09
2024-08-05 11:45:13,D3 Gun Lens,2.7999999999999986e-09
2024-08-05 11:45:14,D3 Bias,2.7999999999999986e-09
2024-08-05 19:22:40,D2 Suppressor,2.699999999999991e-09
2024-08-05 23:41:56,C2 Bias,2.5999999999999306e-09
2024-08-05 20:15:41,B4 Bias,1.4999999999999539e-09
